Block,District,Ward,Beat,location_id
014XX W GRAND AVE,12,27,1215,2545
001XX S CAMPBELL AVE,11,2,1125,2546
016XX S RACINE AVE,12,25,1235,2547
065XX S DAMEN AVE,7,15,726,2548
079XX S COTTAGE GROVE AVE,6,6,624,2549
0000X S DEARBORN ST,1,42,112,2550
043XX W WEST END AVE,11,28,1114,2551
016XX S AVERS AVE,10,24,1014,2552
051XX N BROADWAY,20,48,2033,2553
067XX S MAPLEWOOD AVE,8,15,832,2554
055XX W DIVERSEY AVE,25,30,2514,2555
040XX S ARCHER AVE,9,12,921,2556
039XX W CHICAGO AVE,11,27,1112,2557
057XX S HAMILTON AVE,7,15,715,2558
042XX N KEELER AVE,17,39,1722,2559
021XX E 87TH ST,4,8,412,2560
026XX S KEDZIE AVE,10,12,1033,2561
043XX N LAWNDALE AVE,17,33,1723,2562
001XX N LEAMINGTON AVE,15,28,1532,2563
011XX S PLYMOUTH CT,1,2,123,2564
015XX S RIDGEWAY AVE,10,24,1014,2565
019XX W OGDEN AVE,12,2,1231,2566
076XX S SOUTH SHORE DR,4,7,421,2567
003XX E RANDOLPH ST,1,42,114,2568
055XX S EVERETT AVE,2,5,235,2569
075XX S HARVARD AVE,6,17,623,2570
073XX S SACRAMENTO AVE,8,18,835,2571
032XX W ARMITAGE AVE,14,35,1421,2572
005XX E 40TH ST,2,4,214,2573
011XX N DAMEN AVE,12,1,1212,2574
004XX W 115TH ST,5,34,522,2575
003XX S WASHTENAW AVE,11,28,1125,2576
082XX S SOUTH SHORE DR,4,7,424,2577
001XX E 35TH ST,2,3,211,2578
034XX W PALMER ST,14,26,1413,2579
042XX W 36TH ST,10,22,1031,2580
059XX S PRAIRIE AVE,2,20,232,2581
032XX N NEVA AVE,16,36,1632,2582
019XX N LAWNDALE AVE,25,26,2535,2583
0000X N CLINTON ST,1,42,121,2584
053XX N CLARK ST,20,40,2012,2585
001XX N STETSON AVE,1,42,114,2586
014XX W WILSON AVE,19,47,1912,2587
004XX W MADISON ST,1,2,121,2588
017XX W 91ST PL,22,21,2221,2589
128XX S GREEN ST,5,34,523,2590
080XX S ASHLAND AVE,6,21,611,2591
046XX N MAGNOLIA AVE,19,46,1913,2592
048XX S VINCENNES AVE,2,3,223,2593
050XX W CHICAGO AVE,15,37,1531,2594
068XX S CHAPPEL AVE,3,5,331,2595
049XX N BERNARD ST,17,39,1712,2596
006XX N ST CLAIR ST,18,42,1834,2597
098XX S EXCHANGE AVE,4,10,431,2598
008XX S OAKLEY BLVD,12,25,1225,2599
031XX N CLARK ST,19,44,1933,2600
103XX S ELIZABETH ST,22,21,2232,2601
016XX S BLUE ISLAND AVE,12,25,1233,2602
052XX W QUINCY ST,15,29,1522,2603
024XX W FITCH AVE,24,50,2411,2604
003XX W MADISON ST,1,42,122,2605
001XX W JACKSON BLVD,1,2,122,2606
055XX W DRUMMOND PL,25,30,2514,2607
070XX S CREGIER AVE,3,5,332,2608
014XX W HOWARD ST,24,49,2422,2609
047XX S HAMLIN AVE,8,14,821,2610
007XX W GARFIELD BLVD,9,3,935,2611
072XX S YATES BLVD,3,7,334,2612
084XX S BURLEY AVE,4,10,424,2613
043XX N MEADE AVE,16,38,1624,2614
044XX S LAVERGNE AVE,8,23,814,2615
029XX N SHERIDAN RD,19,44,1934,2616
009XX W ADDISON ST,19,44,1923,2617
053XX S MILLARD AVE,8,23,822,2618
114XX S WESTERN AVE,22,19,2212,2619
044XX S DREXEL BLVD,2,4,221,2620
020XX W CULLERTON ST,12,25,1234,2621
112XX S PEORIA ST,22,34,2234,2622
021XX N LONG AVE,25,37,2515,2623
064XX N RAVENSWOOD AVE,24,40,2432,2624
054XX W LAKE ST,15,28,1523,2625
036XX S LAKE PARK AVE,2,4,212,2626
002XX E ERIE ST,18,42,1834,2627
056XX W ROOSEVELT RD,15,29,1513,2628
052XX S ARTESIAN AVE,9,14,923,2629
014XX N MAPLEWOOD AVE,14,26,1423,2630
042XX W 79TH ST,8,13,834,2631
039XX N RIDGEWAY AVE,17,39,1732,2632
105XX S ABERDEEN ST,22,34,2232,2633
017XX N PAULINA ST,14,1,1433,2634
017XX W 90TH PL,22,21,2221,2635
094XX S STATE ST,6,21,634,2636
012XX W 69TH ST,7,17,724,2637
038XX N LAKE SHORE DR,19,46,1925,2638
052XX S BISHOP ST,9,16,934,2639
023XX W JACKSON BLVD,12,2,1225,2640
036XX N MILWAUKEE AVE,17,38,1731,2641
059XX S HERMITAGE AVE,7,15,714,2642
082XX S COLFAX AVE,4,7,423,2643
045XX W WRIGHTWOOD AVE,25,31,2521,2644
042XX S ARCHER AVE,9,14,921,2645
037XX N PANAMA AVE,16,36,1631,2646
049XX W FERDINAND ST,15,37,1532,2647
054XX S MILLARD AVE,8,23,822,2648
0000X W ADAMS ST,1,42,112,2649
014XX N LEAVITT ST,14,1,1424,2650
015XX N KINGSBURY ST,18,32,1822,2651
028XX N CLARK ST,19,44,1934,2652
022XX N SHEFFIELD AVE,18,32,1811,2653
010XX E 42ND PL,2,4,214,2654
047XX S DREXEL BLVD,2,4,223,2655
053XX S PAULINA ST,9,16,932,2656
122XX S GREEN ST,5,34,524,2657
012XX S HARDING AVE,10,24,1011,2658
032XX W LAWRENCE AVE,17,39,1713,2659
008XX W BLACKHAWK ST,18,43,1822,2660
010XX W 15TH ST,12,25,1232,2661
002XX W 104TH PL,5,34,512,2662
012XX S MICHIGAN AVE,1,2,131,2663
046XX N BROADWAY,19,46,1914,2664
078XX S JEFFERY BLVD,4,8,414,2665
025XX N SACRAMENTO AVE,14,35,1414,2666
003XX E 60TH ST,3,20,311,2667
069XX W DIVERSEY AVE,25,36,2511,2668
060XX S ROCKWELL ST,8,15,825,2669
017XX S STATE ST,1,3,131,2670
006XX W 71ST ST,7,6,732,2671
019XX S RIDGEWAY AVE,10,24,1014,2672
058XX S HALSTED ST,7,16,712,2673
003XX N CENTRAL AVE,15,28,1523,2674
001XX N LOCKWOOD AVE,15,28,1523,2675
024XX N SPRINGFIELD AVE,25,30,2524,2676
019XX S SPAULDING AVE,10,24,1022,2677
052XX W PALMER ST,25,37,2515,2678
033XX N ASHLAND AVE,19,44,1922,2679
079XX S MUSKEGON AVE,4,7,422,2680
049XX W WARWICK AVE,16,45,1634,2681
043XX W 15TH ST,10,24,1011,2682
014XX N LOREL AVE,25,37,2532,2683
027XX W 79TH ST,8,18,835,2684
010XX W MADISON ST,12,2,1232,2685
075XX S STONY ISLAND AVE,4,5,411,2686
021XX N LEAMINGTON AVE,25,37,2522,2687
050XX S WOOD ST,9,16,931,2688
064XX W GRAND AVE,25,36,2512,2689
087XX S EMERALD AVE,22,21,2223,2690
063XX S PARNELL AVE,7,20,722,2691
041XX W 25TH ST,10,22,1013,2692
019XX N TRIPP AVE,25,30,2534,2693
0000X S PULASKI RD,11,28,1115,2694
035XX W PALMER ST,14,26,1413,2695
017XX E 83RD ST,4,8,414,2696
100XX S LA SALLE ST,5,9,511,2697
006XX W CHICAGO AVE,18,27,1822,2698
029XX W AUGUSTA BLVD,12,26,1211,2699
062XX S STEWART AVE,7,20,711,2700
086XX W FOSTER AVE,16,41,1614,2701
007XX N KEDZIE AVE,12,27,1221,2702
003XX W CHESTNUT ST,18,27,1823,2703
048XX S DREXEL BLVD,2,4,223,2704
055XX W HARRISON ST,15,29,1522,2705
014XX N PARKSIDE AVE,25,29,2531,2706
025XX N NORMANDY AVE,25,36,2512,2707
032XX W DOUGLAS BLVD,10,24,1022,2708
029XX W LEXINGTON ST,11,2,1135,2709
0000X E WACKER PL,1,42,111,2710
051XX N CLARK ST,20,48,2032,2711
062XX N CAMPBELL AVE,24,50,2413,2712
089XX S ASHLAND AVE,22,21,2221,2713
131XX S CORLISS AVE,5,9,533,2714
064XX W GEORGE ST,25,36,2511,2715
046XX W PETERSON AVE,17,39,1711,2716
073XX S UNION AVE,7,17,732,2717
039XX W JACKSON BLVD,11,28,1132,2718
043XX S HERMITAGE AVE,9,12,924,2719
042XX W CORTEZ ST,11,37,1111,2720
025XX N LINDEN PL,14,35,1414,2721
001XX S CANAL ST,1,2,121,2722
036XX W FLOURNOY ST,11,24,1133,2723
005XX N LECLAIRE AVE,15,28,1532,2724
076XX S DORCHESTER AVE,4,5,411,2725
0000X N HALSTED ST,12,27,1224,2726
063XX S COTTAGE GROVE AVE,3,20,312,2727
048XX S PRAIRIE AVE,2,3,224,2728
033XX W 110TH ST,22,19,2211,2729
043XX W 26TH ST,10,22,1031,2730
052XX S PULASKI RD,8,23,822,2731
006XX W DIVERSEY PKWY,19,44,1934,2732
005XX W 103RD ST,22,34,2232,2733
019XX W PETERSON AVE,24,40,2413,2734
095XX S JEFFERY AVE,4,7,431,2735
018XX S CENTRAL PARK AVE,10,24,1014,2736
005XX W MENOMONEE ST,18,43,1813,2737
017XX N ASHLAND AVE,14,32,1433,2738
023XX S ALBANY AVE,10,24,1033,2739
001XX N GREEN ST,12,27,1224,2740
015XX S CALIFORNIA BLVD,10,28,1023,2741
020XX N LINCOLN PARK WEST,18,43,1814,2742
047XX S CHAMPLAIN AVE,2,4,223,2743
047XX N BEACON ST,19,46,1913,2744
013XX S CLINTON ST,1,2,124,2745
113XX S WALLACE ST,22,34,2233,2746
006XX W 63RD ST,7,16,711,2747
014XX N CICERO AVE,25,37,2533,2748
035XX W WRIGHTWOOD AVE,14,26,1413,2749
018XX S KOMENSKY AVE,10,24,1012,2750
033XX W DOUGLAS BLVD,10,24,1021,2751
059XX S PEORIA ST,7,16,712,2752
073XX S JEFFERY BLVD,3,5,333,2753
005XX N ST LOUIS AVE,11,27,1121,2754
025XX N TRIPP AVE,25,31,2524,2755
002XX S LA SALLE ST,1,42,122,2756
112XX S GREEN ST,22,34,2233,2757
076XX N ROGERS AVE,24,49,2422,2758
060XX S KEDZIE AVE,8,16,823,2759
054XX W ALTGELD ST,25,30,2515,2760
012XX W 73RD ST,7,17,734,2761
064XX S CALUMET AVE,3,20,312,2762
021XX S MICHIGAN AVE,1,2,132,2763
002XX W 87TH ST,6,21,622,2764
005XX W WISCONSIN ST,18,43,1813,2765
044XX N SHERIDAN RD,19,46,1914,2766
015XX N FREMONT ST,18,32,1822,2767
002XX N HOMAN AVE,11,28,1123,2768
039XX W VAN BUREN ST,11,24,1132,2769
115XX S MARSHFIELD AVE,22,34,2234,2770
017XX W 79TH ST,6,21,611,2771
003XX N LOTUS AVE,15,28,1523,2772
062XX S EBERHART AVE,3,20,313,2773
012XX N PAULINA ST,14,1,1424,2774
014XX W 74TH ST,7,17,734,2775
045XX N AUSTIN AVE,16,38,1622,2776
046XX N KENTON AVE,17,45,1722,2777
022XX W LAKE ST,12,2,1223,2778
054XX S LOOMIS BLVD,9,16,934,2779
002XX E 61ST ST,3,20,311,2780
057XX N RICHMOND ST,20,40,2011,2781
010XX W AINSLIE ST,20,46,2024,2782
020XX S SAWYER AVE,10,24,1022,2783
002XX W WASHINGTON ST,1,42,122,2784
050XX S LARAMIE AVE,8,23,814,2785
0000X E MADISON ST,1,42,112,2786
0000X S KILBOURN AVE,11,28,1113,2787
066XX S BISHOP ST,7,17,725,2788
050XX W AINSLIE ST,16,45,1623,2789
041XX W 30TH ST,10,22,1031,2790
039XX S MICHIGAN AVE,2,3,213,2791
025XX N ELSTON AVE,14,32,1432,2792
027XX W SUPERIOR ST,12,26,1221,2793
019XX N CLEVELAND AVE,18,43,1813,2794
014XX W 47TH ST,9,3,924,2795
077XX S COLFAX AVE,4,7,421,2796
035XX W BERTEAU AVE,17,33,1723,2797
043XX W LEXINGTON ST,11,24,1131,2798
005XX W CERMAK RD,12,25,1235,2799
054XX S KARLOV AVE,8,23,815,2800
014XX N DAMEN AVE,14,1,1424,2801
054XX S SHORE DR,2,5,234,2802
001XX W LAKE ST,1,42,122,2803
0000X E 72ND ST,3,6,323,2804
057XX S KENWOOD AVE,2,5,235,2805
057XX S CICERO AVE,8,23,813,2806
041XX N KENMORE AVE,19,46,1915,2807
086XX S HERMITAGE AVE,6,18,614,2808
034XX S CALIFORNIA AVE,9,12,911,2809
062XX S ASHLAND AVE,7,16,714,2810
045XX W PALMER ST,25,31,2522,2811
051XX N KEDZIE AVE,17,39,1713,2812
064XX S CARPENTER ST,7,16,724,2813
0000X E 110TH PL,5,9,513,2814
018XX N CLEVELAND AVE,18,43,1813,2815
003XX S HOMAN AVE,11,28,1134,2816
038XX W IOWA ST,11,27,1112,2817
096XX S HOXIE AVE,4,7,431,2818
110XX S EDBROOKE AVE,5,9,513,2819
022XX N DRAKE AVE,14,26,1413,2820
047XX S WOODLAWN AVE,2,4,222,2821
003XX N AUSTIN BLVD,15,29,1512,2822
006XX N CICERO AVE,11,28,1111,2823
054XX W WINDSOR AVE,16,45,1623,2824
074XX N SHERIDAN RD,24,49,2422,2825
042XX N RIDGEWAY AVE,17,39,1723,2826
022XX W SCHOOL ST,19,32,1921,2827
056XX N LINCOLN AVE,20,40,2011,2828
080XX S CHAMPLAIN AVE,6,6,631,2829
058XX W IRVING PARK RD,16,38,1633,2830
062XX S BISHOP ST,7,16,713,2831
010XX W GARFIELD BLVD,9,16,934,2832
045XX W CONGRESS PKWY,11,24,1131,2833
003XX S MICHIGAN AVE,1,2,113,2834
001XX W JACKSON BLVD,1,42,122,2835
018XX N KIMBALL AVE,14,26,1422,2836
045XX W VAN BUREN ST,11,24,1131,2837
001XX S WABASH AVE,1,42,112,2838
003XX E 79TH ST,6,6,623,2839
085XX S DR MARTIN LUTHER KING JR DR,6,6,632,2840
114XX S AVENUE J,4,10,433,2841
033XX W OHIO ST,11,27,1121,2842
048XX N KARLOV AVE,17,39,1712,2843
001XX W 79TH ST,6,17,623,2844
081XX S PAULINA ST,6,18,614,2845
050XX S LAKE SHORE DR SB,2,4,222,2846
007XX N MILWAUKEE AVE,12,27,1214,2847
007XX S CLAREMONT AVE,12,2,1225,2848
023XX N LISTER AVE,14,32,1432,2849
084XX S CRANDON AVE,4,8,412,2850
002XX N PINE AVE,15,28,1523,2851
029XX N KENNETH AVE,25,31,2523,2852
003XX N LONG AVE,15,28,1523,2853
015XX N CENTRAL AVE,25,29,2531,2854
007XX W 110TH ST,22,34,2233,2855
035XX W ADDISON ST,17,35,1732,2856
020XX W 52ND PL,9,16,932,2857
025XX W DEVON AVE,24,50,2412,2858
061XX S PEORIA ST,7,16,712,2859
118XX S MICHIGAN AVE,5,9,532,2860
093XX S PERRY AVE,6,21,634,2861
004XX W 127TH ST,5,9,523,2862
029XX S ARCH ST,9,11,913,2863
072XX S WASHTENAW AVE,8,18,831,2864
047XX W FULLERTON AVE,25,31,2522,2865
031XX W 103RD ST,22,19,2211,2866
076XX S STEWART AVE,6,17,621,2867
046XX S TALMAN AVE,9,12,922,2868
075XX S COLES AVE,4,7,421,2869
076XX S MAY ST,6,17,612,2870
014XX W 112TH PL,22,34,2234,2871
046XX S ROCKWELL ST,9,12,922,2872
017XX N NORDICA AVE,25,36,2513,2873
050XX N PAULINA ST,20,47,2032,2874
013XX S INDEPENDENCE BLVD,10,24,1011,2875
011XX N LAKE SHORE DR,18,42,1824,2876
039XX S KEDZIE AVE,9,14,921,2877
004XX S CLARK ST,1,2,122,2878
028XX W BELMONT AVE,17,33,1733,2879
052XX S EMERALD AVE,9,3,935,2880
082XX S MARYLAND AVE,6,8,631,2881
058XX S CARPENTER ST,7,16,712,2882
003XX E 75TH ST,3,6,323,2883
017XX W 61ST ST,7,15,714,2884
011XX N MILWAUKEE AVE,12,1,1213,2885
032XX S HARDING AVE,10,22,1031,2886
003XX E 75TH ST,6,6,623,2887
032XX S PRAIRIE AVE,2,3,211,2888
012XX S LAWNDALE AVE,10,24,1011,2889
034XX W 16TH ST,10,24,1021,2890
049XX W GLADYS AVE,15,24,1533,2891
049XX W MONTROSE AVE,16,45,1624,2892
023XX W 23RD PL,10,25,1034,2893
068XX S ARTESIAN AVE,8,17,832,2894
057XX W 56TH ST,8,23,811,2895
067XX N SAUGANASH AVE,16,41,1621,2896
022XX W JACKSON BLVD,12,2,1225,2897
026XX W THOMAS ST,12,1,1211,2898
066XX S KEDZIE AVE,8,15,831,2899
002XX S CICERO AVE,15,28,1533,2900
007XX W WILLOW ST,18,43,1813,2901
018XX S WABASH AVE,1,3,131,2902
001XX N CANAL ST,1,42,121,2903
045XX S WESTERN AVE,9,12,922,2904
054XX N OAK PARK AVE,16,41,1613,2905
081XX S STONY ISLAND AVE,4,8,411,2906
012XX N WESTERN AVE,14,26,1423,2907
055XX S MAY ST,7,16,712,2908
072XX S MERRILL AVE,3,5,333,2909
040XX W KAMERLING AVE,25,27,2534,2910
005XX W BELDEN AVE,18,43,1812,2911
061XX S RICHMOND ST,8,15,823,2912
045XX N MALDEN ST,19,46,1913,2913
002XX W 63RD ST,7,20,722,2914
030XX N PULASKI RD,25,31,2523,2915
071XX S EAST END AVE,3,5,324,2916
020XX S WESTERN AVE,12,25,1234,2917
074XX N WESTERN AVE,24,50,2411,2918
064XX S HONORE ST,7,15,726,2919
007XX N RACINE AVE,12,27,1215,2920
034XX W FIFTH AVE,11,28,1133,2921
006XX W 48TH PL,9,11,935,2922
016XX N RUTHERFORD AVE,25,36,2513,2923
050XX W ROSCOE ST,16,38,1634,2924
003XX E CULLERTON ST,1,2,132,2925
062XX W DIVERSEY AVE,25,29,2512,2926
065XX W DIVERSEY AVE,25,36,2512,2927
019XX W VAN BUREN ST,12,2,1225,2928
028XX W 64TH ST,8,15,823,2929
047XX S LOOMIS BLVD,9,3,933,2930
0000X S DOOR 3 ST,8,23,813,2931
034XX N LAKE SHORE DR,19,44,1925,2932
001XX S LAVERGNE AVE,15,28,1533,2933
060XX S ST LAWRENCE AVE,3,20,313,2934
028XX W 62ND ST,8,15,823,2935
012XX S BLUE ISLAND AVE,12,2,1232,2936
0000X W 44TH ST,2,3,215,2937
051XX W DRUMMOND PL,25,31,2521,2938
038XX W 60TH ST,8,13,823,2939
001XX N LONG AVE,15,28,1523,2940
044XX W 45TH ST,8,14,815,2941
053XX W DEMING PL,25,31,2515,2942
044XX W JACKSON BLVD,11,28,1113,2943
052XX S MELVINA AVE,8,23,811,2944
091XX S COMMERCIAL AVE,4,10,423,2945
055XX W GRAND AVE,25,29,2515,2946
028XX W 83RD PL,8,18,835,2947
114XX S RACINE AVE,22,34,2234,2948
079XX S MARSHFIELD AVE,6,21,611,2949
087XX S SANGAMON ST,22,21,2222,2950
017XX E 92ND ST,4,8,413,2951
008XX W WEBSTER AVE,18,43,1812,2952
118XX S INDIANA AVE,5,9,532,2953
049XX S WESTERN BLVD,9,16,931,2954
016XX W LAKE ST,12,27,1224,2955
048XX S LANGLEY AVE,2,4,223,2956
015XX W THOMAS ST,12,27,1213,2957
021XX W RICE ST,12,32,1212,2958
035XX S INDIANA AVE,2,3,212,2959
028XX S HOMAN AVE,10,22,1032,2960
126XX S HALSTED ST,5,34,523,2961
048XX W MONTANA ST,25,31,2521,2962
038XX W 64TH ST,8,13,823,2963
049XX S WESTERN AVE,9,12,923,2964
016XX N CENTRAL PARK AVE,25,26,2535,2965
005XX W SCOTT ST,18,27,1821,2966
013XX W 76TH ST,6,17,612,2967
071XX S MICHIGAN AVE,3,6,323,2968
038XX S RACINE AVE,9,11,912,2969
0000X E ELM ST,18,42,1824,2970
028XX S MICHIGAN AVE,1,3,133,2971
038XX W 82ND ST,8,18,834,2972
013XX S HARDING AVE,10,24,1011,2973
036XX W 79TH ST,8,18,834,2974
090XX S MAY ST,22,21,2222,2975
009XX N WALLER AVE,15,29,1511,2976
065XX S HOMAN AVE,8,15,831,2977
013XX W 112TH ST,22,34,2234,2978
070XX S RACINE AVE,7,17,734,2979
057XX N FAIRFIELD AVE,20,40,2011,2980
011XX E 81ST PL,4,8,411,2981
027XX S KOLIN AVE,10,22,1031,2982
027XX W 68TH ST,8,15,831,2983
043XX W WABANSIA AVE,25,31,2534,2984
043XX S TRUMBULL AVE,8,14,821,2985
062XX N CLARK ST,24,40,2433,2986
002XX S LOTUS AVE,15,29,1522,2987
014XX N BOSWORTH AVE,14,1,1433,2988
031XX W WILSON AVE,17,33,1713,2989
0000X E WACKER DR,1,42,111,2990
0000X E 92ND ST,6,6,634,2991
049XX W KAMERLING AVE,25,37,2533,2992
012XX N LARRABEE ST,18,27,1822,2993
058XX N PULASKI RD,17,39,1711,2994
013XX S PLYMOUTH CT,1,2,131,2995
014XX W 78TH ST,6,17,612,2996
072XX S EMERALD AVE,7,17,732,2997
024XX N SACRAMENTO AVE,14,35,1414,2998
038XX W 60TH PL,8,13,823,2999
038XX W ARTHINGTON ST,11,24,1133,3000
079XX S JEFFERY BLVD,4,8,414,3001
070XX N WESTERN AVE,24,50,2411,3002
024XX W OGDEN AVE,10,28,1023,3003
061XX S WESTERN AVE,8,15,825,3004
007XX W BELMONT AVE,19,44,1934,3005
015XX S WABASH AVE,1,2,131,3006
085XX S VINCENNES AVE,6,21,622,3007
002XX W SUPERIOR ST,18,42,1831,3008
085XX S ADA ST,6,21,613,3009
055XX N WESTERN AVE,20,40,2012,3010
045XX N MULLIGAN AVE,16,38,1622,3011
018XX N CLARK ST,18,43,1814,3012
004XX E 35TH ST,2,4,212,3013
015XX E 61ST ST,3,5,314,3014
056XX S OAKLEY AVE,8,16,824,3015
064XX S PARNELL AVE,7,20,722,3016
016XX N MERRIMAC AVE,25,29,2513,3017
009XX W CARMEN AVE,20,48,2024,3018
048XX S JUSTINE ST,9,20,933,3019
022XX W TAYLOR ST,12,25,1225,3020
003XX W GRAND AVE,18,42,1831,3021
005XX N MONTICELLO AVE,11,27,1122,3022
002XX N MASON AVE,15,29,1512,3023
021XX W 70TH PL,7,17,735,3024
060XX S WESTERN AVE,8,16,825,3025
031XX S HALSTED ST,9,11,913,3026
002XX E PERSHING RD,2,3,212,3027
0000X W CHECKPOINT 7 ST,16,41,1653,3028
122XX S EGGLESTON AVE,5,34,523,3029
038XX W 107TH ST,22,19,2211,3030
001XX W 87TH ST,6,21,622,3031
011XX S DELANO CT W,1,2,123,3032
087XX S MANISTEE AVE,4,7,423,3033
040XX N LONG AVE,16,38,1624,3034
042XX W ARMITAGE AVE,25,30,2522,3035
071XX S STATE ST,31,6,323,3036
058XX S KOLMAR AVE,8,13,813,3037
031XX S WALLACE ST,9,11,915,3038
011XX S DELANO CT E,1,2,123,3039
063XX S CAMPBELL AVE,8,15,825,3040
014XX W 51ST ST,9,16,934,3041
058XX N DRAKE AVE,17,39,1711,3042
014XX N BELL AVE,14,1,1424,3043
010XX N LEAVITT ST,12,32,1212,3044
092XX S WABASH AVE,6,6,634,3045
011XX N WESTERN AVE,12,1,1212,3046
007XX W 81ST ST,6,21,621,3047
060XX W EDDY ST,16,38,1633,3048
035XX W 63RD ST,8,15,823,3049
034XX S DR MARTIN LUTHER KING JR DR,2,2,211,3050
047XX S VINCENNES AVE,2,3,223,3051
006XX W 95TH ST,22,21,2223,3052
048XX N WESTERN AVE,20,47,2031,3053
030XX N HOYNE AVE,19,32,1931,3054
093XX S NORMAL AVE,22,21,2223,3055
095XX S OAKLEY AVE,22,19,2213,3056
018XX W 21ST PL,12,25,1234,3057
054XX W SCHOOL ST,16,38,1633,3058
026XX N DAYTON ST,19,43,1935,3059
050XX W LAKE ST,15,28,1532,3060
007XX W BELMONT AVE,19,44,1925,3061
047XX S PRINCETON AVE,9,3,935,3062
029XX S ARCHER AVE,9,11,913,3063
001XX E 51ST ST,2,3,231,3064
004XX W WASHINGTON ST,1,42,121,3065
114XX S HOMEWOOD AVE,22,19,2212,3066
026XX E 92ND ST,4,7,423,3067
034XX W WILSON AVE,17,33,1723,3068
024XX W ADAMS ST,11,2,1125,3069
118XX S HALSTED ST,5,34,524,3070
037XX N NEWLAND AVE,16,36,1632,3071
069XX N WOLCOTT AVE,24,49,2424,3072
019XX N CLYBOURN AVE,18,32,1811,3073
055XX N CAMPBELL AVE,20,40,2011,3074
026XX N NARRAGANSETT AVE,25,36,2512,3075
016XX N MEADE AVE,25,29,2513,3076
001XX W ELM ST,18,42,1824,3077
012XX N LA SALLE DR,18,42,1821,3078
023XX W MARQUETTE RD,8,17,832,3079
014XX W WASHINGTON BLVD,12,27,1224,3080
045XX W WILCOX ST,11,28,1113,3081
016XX W 59TH ST,7,15,714,3082
079XX S HARVARD AVE,6,17,623,3083
019XX W LAKE ST,12,27,1223,3084
042XX W MADISON ST,11,28,1115,3085
070XX S YALE AVE,7,6,731,3086
041XX S DR MARTIN LUTHER KING JR DR,2,3,214,3087
017XX W DIVISION ST,12,1,1213,3088
107XX S INDIANA AVE,5,9,513,3089
041XX W 55TH ST,8,23,815,3090
088XX S STATE ST,6,6,632,3091
063XX S SANGAMON ST,7,16,723,3092
026XX N MILWAUKEE AVE,14,35,1412,3093
005XX N PINE AVE,15,37,1523,3094
041XX W KAMERLING AVE,25,37,2534,3095
023XX W MADISON ST,12,2,1223,3096
038XX W 111TH ST,22,19,2211,3097
055XX W CORCORAN PL,15,28,1523,3098
023XX S WESTERN AVE,10,25,1034,3099
076XX S HOMAN AVE,8,18,835,3100
087XX S LOOMIS ST,22,21,2222,3101
055XX S WABASH AVE,2,20,225,3102
059XX S RICHMOND ST,8,16,824,3103
034XX W 65TH PL,8,15,831,3104
035XX S WOOD ST,9,11,912,3105
021XX N MOBILE AVE,25,29,2512,3106
035XX E 114TH ST,4,10,433,3107
0000X N HOMAN BLVD,11,28,1123,3108
016XX N LUNA AVE,25,37,2532,3109
094XX S HARVARD AVE,6,21,634,3110
022XX W FARWELL AVE,24,50,2411,3111
006XX E 80TH ST,6,6,631,3112
011XX E 81ST ST,4,8,411,3113
064XX S UNIVERSITY AVE,3,20,314,3114
020XX W LAWRENCE AVE,19,47,1911,3115
068XX S DAMEN AVE,7,17,726,3116
094XX S PERRY AVE,6,21,634,3117
0000X E 79TH ST,6,6,623,3118
068XX N ROCKWELL ST,24,50,2411,3119
100XX S PRAIRIE AVE,5,9,511,3120
011XX W 70TH ST,7,17,733,3121
022XX W 21ST PL,12,25,1234,3122
038XX S RHODES AVE,2,4,212,3123
035XX W FULLERTON AVE,14,26,1413,3124
048XX W PETERSON AVE,16,45,1621,3125
011XX E 46TH ST,2,4,222,3126
011XX W 93RD ST,22,21,2222,3127
060XX W 55TH ST,8,23,811,3128
024XX W DIVISION ST,12,26,1212,3129
003XX S LOCKWOOD AVE,15,29,1522,3130
047XX W BELMONT AVE,25,31,2521,3131
069XX S PAULINA ST,7,17,735,3132
002XX S CENTRAL AVE,15,29,1522,3133
061XX S INDIANA AVE,3,20,311,3134
080XX S UNION AVE,6,21,621,3135
001XX S HALSTED ST,12,27,1232,3136
079XX S RHODES AVE,6,6,624,3137
026XX N SPAULDING AVE,14,35,1412,3138
085XX S BISHOP ST,6,21,614,3139
045XX W LAKE ST,11,28,1113,3140
057XX N MILWAUKEE AVE,16,45,1622,3141
030XX N KEATING AVE,25,31,2521,3142
056XX S MAPLEWOOD AVE,8,16,824,3143
081XX S COTTAGE GROVE AVE,6,8,631,3144
018XX N LOTUS AVE,25,37,2532,3145
032XX N KEELER AVE,17,30,1731,3146
007XX E 103RD ST,5,8,511,3147
046XX W MADISON ST,11,28,1113,3148
035XX S DR MARTIN LUTHER KING JR DR,2,4,212,3149
004XX N LARAMIE AVE,15,28,1523,3150
055XX S PULASKI RD,8,23,822,3151
033XX W FLOURNOY ST,11,24,1134,3152
015XX N KOSTNER AVE,25,37,2533,3153
022XX W 50TH ST,9,16,931,3154
008XX N LAWNDALE AVE,11,27,1112,3155
004XX S KOSTNER AVE,11,24,1131,3156
005XX E 46TH PL,2,3,221,3157
034XX S ARCHER AVE,9,11,912,3158
004XX N RACINE AVE,12,27,1215,3159
070XX N CLARK ST,24,49,2424,3160
002XX E 45TH ST,2,3,215,3161
