Block,District,Ward,Beat,location_id
027XX S KEDZIE AVE,10,12,1033,147
113XX S AVENUE H,4,10,433,148
054XX S SPAULDING AVE,8,14,822,149
076XX S RHODES AVE,6,6,624,150
024XX S SPRINGFIELD AVE,10,22,1013,151
010XX N FRANCISCO AVE,12,26,1211,152
073XX S CRANDON AVE,3,7,334,153
097XX S PRINCETON AVE,5,21,511,154
050XX W HURON ST,15,37,1532,155
070XX S PRINCETON AVE,7,6,731,156
054XX S FRANCISCO AVE,9,14,923,157
060XX S MASON AVE,8,13,812,158
0000X S LA SALLE ST,1,42,122,159
049XX W HUBBARD ST,15,37,1532,160
048XX W WABANSIA AVE,25,37,2533,161
012XX N AVERS AVE,25,27,2535,162
026XX S TRIPP AVE,10,22,1031,163
087XX S JUSTINE ST,22,21,2221,164
070XX S INDIANA AVE,3,6,322,165
077XX S DR MARTIN LUTHER KING JR DR,6,6,623,166
038XX W 55TH ST,8,23,822,167
006XX N LOTUS AVE,15,37,1524,168
050XX S MARSHFIELD AVE,9,16,931,169
003XX N HALSTED ST,12,27,1214,170
051XX W SUNNYSIDE AVE,16,45,1623,171
072XX S RHODES AVE,3,6,323,172
0000X E 75TH ST,3,6,323,173
021XX S WASHTENAW AVE,10,28,1023,174
012XX S ST LOUIS AVE,10,24,1021,175
064XX S STONY ISLAND AVE,3,5,314,176
041XX W WILCOX ST,11,28,1115,177
080XX S PAXTON AVE,4,8,414,178
036XX W 18TH ST,10,24,1014,179
0000X E MONROE ST,1,42,112,180
033XX W 61ST ST,8,15,823,181
053XX S CORNELL AVE,2,5,234,182
050XX N SHERIDAN RD,20,46,2024,183
021XX N CALIFORNIA AVE,14,35,1414,184
026XX S KEELER AVE,10,22,1031,185
014XX N NORTH PARK AVE,18,27,1821,186
0000X W DIVISION ST,18,42,1824,187
052XX W IRVING PARK RD,16,38,1624,188
085XX S RHODES AVE,6,6,632,189
024XX W FARGO AVE,24,50,2411,190
071XX S YALE AVE,7,6,731,191
092XX S DREXEL AVE,4,8,413,192
014XX W LAKE ST,12,27,1224,193
017XX W 18TH ST,12,25,1234,194
056XX W WEST END AVE,15,29,1512,195
100XX S CARPENTER ST,22,34,2232,196
036XX W BELMONT AVE,17,35,1732,197
023XX N MILWAUKEE AVE,14,35,1414,198
085XX W BRYN MAWR AVE,16,41,1614,199
006XX W 43RD PL,9,11,925,200
071XX S INGLESIDE AVE,3,5,324,201
004XX N MC CLURG CT,18,42,1834,202
002XX W ONTARIO ST,18,42,1831,203
106XX S EBERHART AVE,5,9,512,204
011XX W TILDEN ST,12,2,1232,205
004XX N WABASH AVE,18,42,1834,206
121XX S STATE ST,5,9,523,207
032XX N AUSTIN AVE,16,38,1633,208
024XX E 83RD ST,4,7,423,209
002XX N WALLER AVE,15,29,1512,210
040XX W MONROE ST,11,28,1115,211
020XX N KARLOV AVE,25,30,2525,212
005XX N RUSH ST,18,42,1834,213
076XX S JEFFERY BLVD,4,8,414,214
022XX W WALNUT ST,12,27,1223,215
002XX E 35TH ST,2,3,211,216
071XX S CALIFORNIA AVE,8,18,831,217
009XX W 78TH ST,6,17,621,218
003XX E OHIO ST,18,42,1834,219
051XX S HYDE PARK BLVD,2,4,234,220
050XX W CONCORD PL,25,37,2533,221
027XX W WASHINGTON BLVD,12,2,1222,222
040XX W LAKE ST,11,28,1114,223
036XX S STATE ST,2,3,213,224
068XX S MARSHFIELD AVE,7,17,725,225
011XX W 103RD ST,22,34,2232,226
084XX S EXCHANGE AVE,4,10,423,227
038XX W HARRISON ST,11,24,1133,228
037XX N LAKEWOOD AVE,19,44,1923,229
020XX W 59TH ST,7,15,715,230
016XX W MORSE AVE,24,49,2431,231
015XX W 71ST ST,7,17,734,232
085XX S BURNHAM AVE,4,7,423,233
025XX W LOGAN BLVD,14,35,1431,234
094XX S PARNELL AVE,22,21,2223,235
057XX N KIMBALL AVE,17,39,1711,236
032XX N LAKE SHORE DR,19,44,1925,237
029XX N KEDZIE AVE,14,35,1411,238
020XX W 70TH PL,7,17,735,239
